,theta0,theta1,j
238,118955.7821008938,151998.19869679664,2059593657.494772
239,118950.87966124459,152006.34713258877,2059582834.9382927
240,118945.99226114886,152014.4704899535,2059572078.889242
241,118941.11985439081,152022.56884613686,2059561388.938915
242,118936.2623948951,152030.64227814527,2059550764.681115
243,118931.41983672639,152038.69086274633,2059540205.7121432
244,118926.59213408906,152046.71467646962,2059529711.6307795
245,118921.77924132677,152054.71379560753,2059519282.038272
246,118916.9811129221,152062.68829621596,2059508916.5383174
247,118912.19770349613,152070.6382541151,2059498614.7370493
248,118907.42896780808,152078.56374489024,2059488376.2430198
249,118902.67486075492,152086.4648438925,2059478200.6671882
250,118897.935337371,152094.34162623962,2059468087.6229053
251,118893.21035282763,152102.1941668167,2059458036.7258942
252,118888.49986243276,152110.022540277,2059448047.5942435
253,118883.80382163048,152117.82682104254,2059438119.848388
254,118879.1221860008,152125.6070833051,2059428253.111092
255,118874.45491125909,152133.36340102676,2059418447.0074427
256,118869.80195325585,152141.09584794068,2059408701.1648273
257,118865.16326797624,152148.8044975519,2059399015.2129238
258,118860.53881153969,152156.48942313803,2059389388.783689
259,118855.92854019957,152164.15069775,2059379821.5113368
260,118851.33241034279,152171.7883942128,2059370313.0323324
261,118846.75037848938,152179.4025851262,2059360862.9853723
262,118842.18240129216,152186.99334286537,2059351471.0113761
263,118837.62843553633,152194.5607395818,2059342136.7534678
264,118833.08843813911,152202.10484720382,2059332859.8569653
265,118828.56236614933,152209.6257374375,2059323639.969368
266,118824.05017674709,152217.12348176722,2059314476.7403371
267,118819.55182724334,152224.5981514564,2059305369.821691
268,118815.06727507953,152232.04981754822,2059296318.8673859
269,118810.59647782723,152239.4785508664,2059287323.5335054
270,118806.13939318771,152246.88442201575,2059278383.478244
271,118801.69597899164,152254.267501383,2059269498.361901
272,118797.26619319865,152261.62785913743,2059260667.8468592
273,118792.84999389699,152268.96556523157,2059251891.5975785
274,118788.44733930311,152276.28068940187,2059243169.2805798
275,118784.05818776134,152283.57330116947,2059234500.5644333
276,118779.6824977435,152290.84346984074,2059225885.1197484
277,118775.32022784851,152298.09126450808,2059217322.619155
278,118770.971336802,152305.31675405058,2059208812.7372956
279,118766.635783456,152312.52000713465,2059200355.1508145
280,118762.31352678852,152319.7010922147,2059191949.5383403
281,118758.00452590318,152326.86007753387,2059183595.58048
282,118753.70874002884,152333.99703112463,2059175292.9597983
283,118749.4261285193,152341.11202080947,2059167041.3608148
284,118745.15665085282,152348.20511420156,2059158840.4699852
285,118740.90026663181,152355.27637870543,2059150689.9756958
286,118736.65693558248,152362.32588151758,2059142589.5682435
287,118732.42661755443,152369.35368962723,2059134538.9398293
288,118728.20927252033,152376.35986981684,2059126537.7845497
289,118724.0048605755,152383.34448866284,2059118585.798375
290,118719.81334193761,152390.30761253633,2059110682.6791492
291,118715.63467694625,152397.24930760358,2059102828.126569
292,118711.46882606264,152404.1696398268,2059095021.84218
293,118707.31574986919,152411.06867496477,2059087263.5293574
294,118703.17540906918,152417.94647857337,2059079552.8933053
295,118699.04776448644,152424.80311600637,2059071889.6410353
296,118694.93277706491,152431.63865241592,2059064273.4813592
297,118690.83040786833,152438.4531527533,2059056704.124881
298,118686.74061807986,152445.24668176947,2059049181.2839806
299,118682.66336900173,152452.01930401576,2059041704.672807
300,118678.59862205494,152458.77108384442,2059034274.0072634
301,118674.54633877877,152465.5020854093,2059026889.0050035
302,118670.50648083058,152472.21237266646,2059019549.385411
303,118666.47900998534,152478.90200937475,2059012254.8695977
304,118662.46388813535,152485.57105909652,2059005005.1803868
305,118658.46107728982,152492.21958519815,2058997800.0423062
306,118654.47053957458,152498.84765085066,2058990639.1815772
307,118650.49223723174,152505.45531903038,2058983522.326101
308,118646.52613261926,152512.0426525195,2058976449.2054543
309,118642.57218821064,152518.60971390674,2058969419.550874
310,118638.63036659465,152525.15656558785,2058962433.095247
311,118634.70063047484,152531.6832697663,2058955489.5731049
312,118630.78294266929,152538.1898884539,2058948588.720608
313,118626.87726611027,152544.67648347127,2058941730.2755387
314,118622.98356384384,152551.1431164486,2058934913.9772933
315,118619.10179902954,152557.58984882612,2058928139.566865
316,118615.23193494005,152564.01674185472,2058921406.786843
317,118611.37393496084,152570.42385659658,2058914715.381395
318,118607.52776258982,152576.8112539257,2058908065.0962622
319,118603.693381437,152583.17899452854,2058901455.6787496
320,118599.8707552242,152589.52713890458,2058894886.8777127
321,118596.05984778462,152595.8557473669,2058888358.4435525
322,118592.26062306261,152602.16488004272,2058881870.128202
323,118588.47304511323,152608.45459687404,2058875421.6851199
324,118584.697078102,152614.72495761822,2058869012.8692815
325,118580.9326863045,152620.9760218485,2058862643.4371626
326,118577.17983410608,152627.2078489546,2058856313.1467419
327,118573.4384860015,152633.42049814324,2058850021.7574794
328,118569.70860659462,152639.61402843887,2058843769.0303195
329,118565.99016059807,152645.788498684,2058837554.72767
330,118562.28311283288,152651.94396754,2058831378.6134024
331,118558.5874282282,152658.08049348742,2058825240.4528368
332,118554.90307182094,152664.1981348268,2058819140.0127382
333,118551.23000875546,152670.29694967903,2058813077.0613027
334,118547.56820428325,152676.37699598604,2058807051.3681529
335,118543.91762376255,152682.43833151122,2058801062.704324
336,118540.27823265811,152688.48101384015,2058795110.842261
337,118536.64999654079,152694.50510038098,2058789195.5558076
338,118533.03288108729,152700.5106483651,2058783316.6201935
339,118529.42685207979,152706.49771484762,2058777473.8120346
340,118525.83187540568,152712.4663567079,2058771666.909316
341,118522.24791705716,152718.41663065023,2058765895.6913886
342,118518.674943131,152724.3485932042,2058760159.9389598
343,118515.11291982817,152730.26230072533,2058754459.434085
344,118511.56181345355,152736.15780939558,2058748793.960154
345,118508.02159041558,152742.03517522392,2058743163.3018944
346,118504.492217226,152747.89445404688,2058737567.2453532
347,118500.97366049948,152753.735701529,2058732005.5778933
348,118497.46588695336,152759.5589731634,2058726478.0881834
349,118493.96886340727,152765.36432427238,2058720984.5661912
350,118490.48255678285,152771.15181000784,2058715524.8031764
351,118487.00693410347,152776.92148535192,2058710098.591678
352,118483.54196249388,152782.6734051174,2058704705.7255158
353,118480.0876091799,152788.40762394833,2058699345.9997697
354,118476.64384148814,152794.12419632045,2058694019.2107835
355,118473.21062684567,152799.82317654186,2058688725.156153
356,118469.78793277971,152805.5046187534,2058683463.634713
357,118466.37572691734,152811.16857692917,2058678234.4465396
358,118462.97397698517,152816.81510487717,2058673037.3929353
359,118459.58265080908,152822.4442562397,2058667872.2764246
360,118456.20171631388,152828.05608449384,2058662738.9007428
361,118452.831141523,152833.65064295218,2058657637.0708354
362,118449.47089455822,152839.22798476304,2058652566.5928442
363,118446.12094363935,152844.78816291117,2058647527.2741017
364,118442.78125708395,152850.33123021814,2058642518.9231253
365,118439.45180330698,152855.857239343,2058637541.3496103
366,118436.13255082056,152861.3662427826,2058632594.3644192
367,118432.82346823366,152866.85829287217,2058627677.7795792
368,118429.52452425178,152872.33344178592,2058622791.40827
369,118426.23568767667,152877.7917415373,2058617935.0648222
370,118422.95692740602,152883.23324397978,2058613108.5647047
371,118419.68821243319,152888.65800080707,2058608311.7245219
372,118416.42951184692,152894.06606355385,2058603544.3620048
373,118413.180794831,152899.45748359608,2058598806.2960052
374,118409.94203066404,152904.8323121516,2058594097.346486
375,118406.71318871909,152910.19060028053,2058589417.3345213
376,118403.49423846346,152915.5323988859,2058584766.082278
377,118400.28514945833,152920.85775871397,2058580143.4130223
378,118397.08589135853,152926.16673035483,2058575549.1511016
379,118393.8964339122,152931.45936424282,2058570983.1219432
380,118390.71674696059,152936.73571065703,2058566445.152053
381,118387.54680043767,152941.99581972178,2058561935.068995
382,118384.38656436992,152947.2397414071,2058557452.7013974
383,118381.23600887602,152952.46752552918,2058552997.8789413
384,118378.09510416652,152957.6792217509,2058548570.4323545
385,118374.9638205437,152962.87487958226,2058544170.1934023
386,118371.8421284011,152968.05454838084,2058539796.9948876
387,118368.72999822338,152973.2182773523,2058535450.670639
